Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/12/2023,02/13/2023,MCDONALD'S F12056,Food & Drink,Sale,-17.79,
02/12/2023,02/13/2023,NETFLIX.COM,Bills & Utilities,Sale,-19.99,
02/11/2023,02/12/2023,PAYPAL *PYPL PAYIN4,Shopping,Sale,-146.95,
02/11/2023,02/12/2023,Spotify USA,Bills & Utilities,Sale,-4.99,
02/10/2023,02/12/2023,LAZ PARKING 680387-WC,Travel,Sale,-1.00,
02/10/2023,02/12/2023,SAFEWAY #1224,Groceries,Sale,-6.49,
02/10/2023,02/12/2023,PAYPAL *NEWTYPE,Shopping,Sale,-10.92,
02/08/2023,02/09/2023,AMZN Mktp US*F57PP7IT3,Shopping,Sale,-29.76,
02/08/2023,02/09/2023,AMZN Mktp US*H955A8UH0,Shopping,Sale,-13.28,
02/07/2023,02/08/2023,TST* TIGER SUGAR CUPERTIN,Food & Drink,Sale,-7.76,
02/01/2023,02/03/2023,R&amp;B TEA FREMONT,Food & Drink,Sale,-6.61,
02/01/2023,02/03/2023,WIENERSCHNITZEL 241,Food & Drink,Sale,-8.80,
01/30/2023,01/30/2023,Payment Thank You - Web,,Payment,667.23,
01/29/2023,01/30/2023,PAYPAL *GWDCONCEPTS,Shopping,Sale,-10.48,
01/27/2023,01/29/2023,CHIPOTLE 1031,Food & Drink,Sale,-16.26,
01/28/2023,01/29/2023,PAYPAL *PYPL PAYIN4,Shopping,Sale,-146.96,
01/26/2023,01/27/2023,SQUARE ENIX,Entertainment,Sale,-24.00,
01/26/2023,01/27/2023,TST* Sunright Tea Studio,Food & Drink,Sale,-6.25,
01/25/2023,01/26/2023,PAYPAL *STEAM GAMES,Entertainment,Sale,-17.38,
01/25/2023,01/25/2023,PAYPAL *STEAM GAMES,Entertainment,Sale,-14.79,
01/22/2023,01/24/2023,TST* Sunright Tea Studio,Food & Drink,Sale,-12.00,
01/22/2023,01/23/2023,KHAN 3,Food & Drink,Sale,-83.80,
01/20/2023,01/22/2023,SQUARE ENIX,Entertainment,Sale,-22.00,
01/16/2023,01/16/2023,Square Enix,Entertainment,Sale,-29.99,
01/15/2023,01/16/2023,Amazon.com*0719O8M63,Shopping,Sale,-55.36,
01/16/2023,01/16/2023,Amazon.com*SZ8KM5BN3,Shopping,Sale,-38.75,
01/14/2023,01/15/2023,SQ *ONE POT SHABU SHABU,Food & Drink,Sale,-120.73,
01/14/2023,01/15/2023,HUI LAU SHAN,Food & Drink,Sale,-15.00,
01/12/2023,01/13/2023,TST* JAMBA JUICE - 0453 -,Food & Drink,Sale,-8.99,
01/12/2023,01/13/2023,NETFLIX.COM,Bills & Utilities,Sale,-19.99,
01/11/2023,01/11/2023,Spotify USA,Bills & Utilities,Sale,-4.99,
01/10/2023,01/10/2023,Payment Thank You - Web,,Payment,744.94,
01/10/2023,01/10/2023,PAYPAL *STEAM GAMES,Entertainment,Sale,-29.99,
01/07/2023,01/09/2023,MYUNG RANG CUPERTINO,Food & Drink,Sale,-11.99,
01/07/2023,01/08/2023,SQ *KURA REVOLVING SUSHI,Food & Drink,Sale,-142.25,
01/06/2023,01/08/2023,TIGER TEA &amp; JUICE SJ,Food & Drink,Sale,-5.75,
01/07/2023,01/08/2023,SQ *TAN-CHA CUPERTINO,Food & Drink,Sale,-12.75,
01/07/2023,01/08/2023,PAYPAL *STEAM GAMES,Entertainment,Sale,-222.15,
01/07/2023,01/08/2023,PAYPAL *STEAM GAMES,Entertainment,Sale,-0.74,
01/06/2023,01/06/2023,Jagex Payment,Entertainment,Sale,-79.99,
01/01/2023,01/03/2023,SHELL OIL 10007956005,Gas,Sale,-3.49,
12/30/2022,01/01/2023,ULTRA SUSHI.,Food & Drink,Sale,-171.95,
12/31/2022,01/01/2023,MCDONALD'S F16753,Food & Drink,Sale,-18.42,
